Nom arret;Tram 1;Tram 2;Tram 3;Bus 4;Bus 5;Chronobus;Inter-lignes tram/busway;Nom <7 lettres;Nom <10 lettres;1 seul mot;3 mots ou plus;Lettre doublee;Dans Nantes;Autre commune;Nord Loire;Sud Loire;Moins de 1km du periph;Moins de 2 km du periph;Moins de 500m eau;Moins de 1 km eau;Moins de 1 km du chateau;Moins de 2 km du chateau;Moins de 1 km de la Tour Bretagne;Moins de 2 km de la Tour Bretagne;Moins de 1 km hippodrome;Moins de 2 km hippodrome;Moins de 1 km des machines;Moins de 2 km des machines;Moins de 1 km du stade de la Beaujoire;Moins de 2 km du stade de la Beaujoire;Moins de 1 km du parc de proce;Moins de 2 km du parc de proce
Ranzay;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX
Romain Rolland;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Romanet;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Schoelcher;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Souillarderie;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Tertre;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Tourmaline;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
Egalite;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI
50 Otages;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX
08-mai;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX
